"","OsTir1_Ctrl_1","OsTir1_Ctrl_2","OsTir1_Auxin_1","OsTir1_Auxin_2","Chd1_Ctrl_1","Chd1_Ctrl_2","Chd1_Auxin_1","Chd1_Auxin_2"
"hfw",104,96,231,126,182,223,294,276
"hgo",1,4,3,0,24,15,27,18
"Him",0,0,0,0,3,0,0,0
"HIP",196,201,389,197,317,322,256,338
"HIP-R",195,175,355,167,442,436,429,471
"Hip14",309,328,637,301,869,1047,997,1195
"HipHop",353,321,710,328,596,535,955,850
"Hipk",3028,3108,6086,3365,7127,6587,7895,6943
"HIPP1",513,503,985,520,695,853,793,907
"Hira",122,101,229,116,278,307,300,294
"His1:CG31617",319,314,664,356,508,501,816,667
"His1:CG33801",319,314,664,356,508,501,816,667
"His1:CG33804",319,314,664,356,508,501,816,667
"His1:CG33807",319,314,664,356,508,501,816,667
"His1:CG33810",277,290,591,375,460,425,646,589
"His1:CG33813",319,314,664,356,508,501,816,667
"His1:CG33816",277,290,591,375,460,425,646,589
"His1:CG33819",277,290,591,375,460,425,646,589
"His1:CG33822",277,290,591,375,460,425,646,589
"His1:CG33825",277,290,591,375,460,425,646,589
"His1:CG33828",277,290,591,375,460,425,646,589
"His1:CG33831",277,290,591,375,460,425,646,589
"His1:CG33834",276,259,570,318,404,410,620,512
"His1:CG33837",319,314,664,356,508,501,816,667
"His1:CG33840",319,314,664,356,508,501,816,667
"His1:CG33843",319,314,664,356,508,501,816,667
"His1:CG33846",319,314,664,356,508,501,816,667
"His1:CG33849",319,314,664,356,508,501,816,667
"His1:CG33852",319,314,664,356,508,501,816,667
"His1:CG33855",272,279,586,350,502,428,731,617
"His1:CG33858",272,279,586,350,502,428,731,617
"His1:CG33861",272,279,586,350,502,428,731,617
"His1:CG33864",319,314,664,356,508,501,816,667
"His2Av",649,528,1187,619,1552,1518,1853,1901
"His3.3A",348,296,613,313,935,1009,1199,1257
"HisCl1",0,2,4,1,11,23,4,18
"HisRS",394,343,798,421,2354,2591,1877,1931
"HLH54F",0,0,1,0,0,0,0,0
"hll",89,72,160,54,113,169,273,242
"Hmg-2",248,220,495,260,528,614,550,688
"Hmgcl",33,27,79,26,102,95,114,119
"Hmgcr",324,317,572,345,1153,1271,1627,1559
"HmgD",2726,2489,5039,2354,6023,5729,6069,6080
"Hmgs",629,474,1175,589,2492,2938,2937,3013
"Hml",38,52,76,36,220,224,91,96
"Hmu",372,419,789,395,808,926,911,1093
"hmw",0,0,0,0,0,0,0,0
"Hmx",0,0,3,1,1,2,2,4
"Hn",2,2,7,2,28,58,13,35
"hng1",220,188,383,195,373,401,391,440
"hng2",188,145,306,162,480,532,431,371
"HnRNP-K",643,521,1265,586,1972,2024,2245,2201
"Ho",99,65,127,73,307,333,277,340
"holn1",62,59,130,46,254,283,295,332
"how",683,602,1283,614,2205,2221,2072,2140
"HP1b",148,132,273,152,327,317,359,376
"HP5",241,219,485,235,490,492,483,506
"Hph",413,433,828,444,1466,1634,2085,2131
"hppy",1379,1151,2567,1225,4278,4407,4379,4562
"HPS1",56,61,100,68,195,200,155,181
"HPS4",140,118,275,131,450,492,449,456
"Hr39",521,557,1079,643,3246,3346,3456,3425
"Hr4",339,347,711,350,1006,1081,1168,1062
"Hr51",23,7,56,14,31,42,34,40
"Hr83",0,2,3,0,2,4,6,1
"Hr96",208,196,368,217,494,535,513,594
"Hrb27C",2399,2171,4794,2379,4824,5258,4898,5392
"Hrb98DE",1761,1575,3214,1646,2946,3387,3164,3573
"Hrs",406,361,753,351,1103,1201,882,900
"Hs3st-A",5,7,7,3,18,14,15,19
"Hs3st-B",3,3,1,1,2,4,7,2
"Hsc20",28,32,49,29,133,161,213,300
"Hsc70-1",10,4,15,5,15,23,23,30
"Hsc70-2",15,17,31,15,53,42,142,127
"Hsc70-4",7898,8319,14954,9165,7521,7087,7884,7607
"Hsc70Cb",2076,1993,4065,2224,2778,2860,3273,3426
"Hsl",351,333,634,320,734,824,892,1081
"Hsp22",284,304,503,305,978,948,1064,1313
"Hsp27",551,660,982,705,918,865,980,1125
"Hsp60A",937,919,1785,974,1682,1880,1898,1971
"Hsp60B",0,0,0,0,0,0,0,0
"Hsp60C",0,0,0,0,1,1,0,0
"Hsp70Aa",2984,4174,5677,4338,2422,2441,2066,2297
"Hsp70Ab",2984,4175,5677,4340,2422,2441,2067,2297
"Hsp70Bb",1303,1771,2441,1867,2785,2736,1694,1810
"Hsp70Bbb",1199,1568,2209,1790,2539,2630,1626,1826
"Hsp70Bc",1167,1560,2143,1695,2473,2404,1600,1705
"Hsp83",10459,13613,19252,14609,4335,4122,4771,5110
"HSPBAP1",55,40,88,39,102,125,157,154
"htk",412,345,747,400,706,778,864,859
"htt",506,477,982,528,1352,1490,1729,1639
"Hug",2,1,0,0,2,0,0,0
"hui",0,0,0,0,6,13,3,1
"HUWE1",911,781,1635,820,1811,2060,2132,2099
"Hydr1",98,108,200,88,243,304,346,373
"Hydr2",625,649,1140,658,1569,1806,2384,2565
"hyx",275,231,542,267,585,709,559,591
"iav",42,33,74,35,68,68,142,126
"Ibf1",65,69,148,75,234,245,237,252
"ICA69",1,1,1,0,3,2,8,6
"Ice1",482,442,954,451,589,577,613,676
"Ice2",93,77,148,88,172,197,162,217
"ida",80,84,162,78,148,161,157,212
"Idgf1",252,361,475,340,1054,910,298,268
"Idgf2",249,335,610,312,1963,2117,1367,1309
"Idgf3",1322,1532,2835,1359,6382,7201,5611,5887
"Idgf5",2,1,6,1,4,7,7,6
"Idgf6",456,467,807,398,2021,2121,2193,2198
"Idi",128,102,210,111,210,173,239,201
"Ids",192,115,419,121,1965,2659,1053,1318
"ifc",1556,1672,2741,1663,3587,3996,3974,4021
"IFT54",67,61,125,82,140,140,131,124
"IFT57",0,0,1,0,0,0,1,1
"igl",0,2,1,3,0,6,4,9
"Ih",4,16,21,9,22,25,19,18
"IKKepsilon",130,130,256,124,379,465,422,447
"IleRS",758,732,1375,702,2881,2988,3193,3306
"IleRS-m",99,84,183,94,138,148,180,209
"Ilk",283,259,533,288,648,734,900,951
"Ilp7",0,0,0,0,1,1,0,0
"Impbeta11",489,440,956,444,1203,1439,1297,1355
"ImpE1",1,0,6,4,23,11,13,7
"ImpL1",0,0,0,0,0,1,0,1
"IMPPP",1,0,1,1,10,15,15,13
"in",0,1,0,0,1,1,1,3
"inaC",0,0,0,0,1,0,0,0
"inaE",1907,2379,3299,2117,3953,4149,4553,4247
"inc",260,231,518,202,386,441,583,600
"Incenp",722,663,1359,633,939,920,1084,1001
"Indy-2",0,0,0,0,0,0,0,0
"INPP5E",340,363,692,332,714,843,868,896
"IntS1",368,367,697,410,716,770,1080,1121
"IntS10",111,85,205,96,304,356,435,429
"IntS11",311,241,584,303,570,633,811,863
"IntS12",71,57,123,65,90,72,132,101
"IntS14",117,106,216,134,313,356,320,406
"IntS8",142,131,279,145,338,372,341,384
"inv",7,12,15,7,40,52,51,79
"Invadolysin",275,249,532,276,1705,1558,1465,1422
"Inx2",508,327,718,303,2136,2450,2775,2967
"Ip259",1151,939,2114,1034,2182,2402,2124,2168
"IP3K1",1764,1884,3217,1921,3099,3165,3141,3404
"IP3K2",2851,2820,5590,2789,8318,9520,8236,9728
"IPIP",112,118,250,122,225,288,251,278
"Ipk1",72,67,139,76,168,174,217,235
"Ipp",111,94,180,102,207,217,220,297
"Ir100a",4,4,6,2,10,12,23,10
"Ir31a",1,1,2,0,0,3,3,7
"Ir41a",366,340,692,380,1293,1382,1287,1258
"Ir51b",3,4,5,3,10,10,6,16
"Ir52a",0,0,0,0,0,0,0,0
"Ir52b",0,0,0,0,0,0,0,0
"Ir52c",0,0,0,0,0,0,0,0
"Ir52d",0,0,0,0,0,0,0,0
"Ir54a",46,44,100,48,94,95,196,172
"Ir56b",0,0,0,0,0,1,0,0
"Ir56c",0,0,0,0,0,0,1,1
"Ir60b",0,0,0,0,3,4,4,3
"Ir60d",0,1,0,0,0,0,0,1
"Ir76a",49,52,89,56,344,410,344,322
"Ir7a",0,0,0,0,0,0,1,0
"Ir7c",0,1,0,0,0,0,0,0
"Ir7g",62,39,149,52,114,139,92,91
"Ir84a",0,0,0,0,0,0,0,0
"Ir85a",0,0,0,0,1,0,1,0
"Ir87a",0,0,0,0,0,0,0,0
"Ir92a",43,50,73,35,55,49,11,12
"Ir94a",0,0,0,0,1,1,0,0
"Ir94d",0,1,1,0,2,3,0,1
"Ir94e",0,0,0,0,0,0,0,1
"Ir94f",0,0,0,0,1,0,0,0
"Ir94g",0,0,0,0,0,0,0,0
"Ir94h",0,0,0,0,0,0,0,0
"Irbp",313,240,527,227,679,861,936,1115
"Irc",1141,1402,2168,1386,3655,4112,3636,3766
"Irk1",3320,3074,6155,3312,8108,9548,7765,8814
"IRSp53",246,345,543,279,1546,1647,1281,1407
"Iru",168,181,383,170,514,602,464,537
"isopeptidase-T-3",141,121,261,126,328,384,344,386
"isoQC",97,108,188,115,293,290,296,276
"Iswi",465,361,830,439,711,664,763,813
"ItgaPS4",27,28,51,39,89,88,129,118
"ItgaPS5",108,97,210,108,103,118,159,157
"Itgbn",195,195,379,200,539,540,443,448
"ITP",940,809,1746,762,3582,3883,3710,3860
"Itpr",1100,1070,1848,1160,3029,3064,1848,1742
"Jafrac1",1071,875,1908,1016,2610,2752,3055,3131
"Jafrac2",130,136,238,115,415,375,382,422
"jagn",245,193,419,236,479,526,595,651
"Jarid2",624,539,1158,590,909,914,1055,1039
"Jasper",548,446,985,507,935,928,942,1045
"jhamt",3,6,7,2,28,28,10,27
"JHDM2",504,408,882,427,884,1028,827,921
"Jhe",3,4,7,5,4,6,11,16
"Jhedup",1,1,0,0,1,0,2,1
"JhI-26",213,240,449,189,2221,2417,2012,2159
"jigr1",466,534,985,449,1556,1455,1524,1607
"jing",340,338,683,316,606,678,611,627
"Jon44E",0,0,0,0,1,0,0,1
"Jon99Ciii",0,0,0,0,1,2,0,3
"Jra",807,773,1503,828,935,1132,1251,1358
"jumu",1420,1373,2543,1361,4113,3843,4026,3621
"jvl",1681,1611,3236,1699,5183,5622,4903,5141
"JYalpha",0,0,1,0,3,3,1,2
"Kal1",634,684,1267,716,1600,2027,2092,2337
"Kap-alpha1",316,260,589,273,468,562,517,567
"Karl",696,646,1344,694,1591,1723,1338,1272
"Karybeta3",1414,1229,2596,1386,2189,2705,2459,2589
"kat-60L1",77,57,132,65,167,170,184,171
"kay",10019,9482,18004,9949,24758,25437,31293,30694
"Kaz-m1",2,1,0,2,5,4,12,5
"Kaz1-ORFB",328,379,729,429,1851,1635,1202,1055
"kcc",667,524,1234,583,1372,1578,1481,1584
"KdelR",539,521,922,493,1334,1592,1227,1358
"Kdm2",2178,1888,4124,1958,7268,8019,7077,7155
"kdn",1121,967,2112,1090,1619,1820,1270,1536
"Kebab",43,36,93,38,157,183,125,157
"kek2",42,42,79,40,112,167,110,121
"kek3",2,0,3,4,4,3,10,5
"kek5",809,768,1489,700,1771,1749,1924,1946
"kek6",159,102,240,115,312,365,503,495
"ken",1812,1828,3438,1704,4705,4657,5108,5368
"Kif3C",12,20,31,11,67,65,102,91
"kin17",124,108,216,98,264,256,317,310
"kirre",693,693,1421,757,2663,2801,2708,2634
"klg",36,26,67,43,253,278,233,340
"Klp31E",91,73,201,94,320,325,289,335
"Klp54D",1,0,5,3,14,15,18,15
"Klp59D",0,0,0,0,0,0,0,0
"Klp68D",204,204,432,200,366,415,443,536
"kmg",0,1,2,0,2,3,3,9
"kmr",454,555,893,465,2133,2203,2129,2182
"koi",1079,970,1897,1082,3494,3681,4018,4019
"koko",109,88,188,92,206,225,320,367
"Kr",126,139,229,98,348,406,476,528
"Kr-h1",603,646,1099,657,3426,3086,3098,2848
"Kr-h2",367,324,666,335,939,1099,913,1154
"kraken",1983,1898,3141,1676,4383,4772,4597,4557
"kri",434,366,809,412,399,528,484,533
"kst",1703,1788,3445,1771,4439,4300,3822,3405
"kto",402,389,845,430,846,932,962,1038
"ktub",3,3,4,2,13,23,20,6
"Kua",1,1,8,4,14,9,18,8
"kug",654,560,1286,633,1621,1684,1947,2013
"kuk",445,385,919,423,986,931,986,888
"Kul",14,14,21,14,61,62,83,82
"kune",324,258,524,313,576,607,723,801
"kuz",3441,3005,6359,3370,9358,9487,9542,8958
"l(1)G0007",443,468,985,488,855,997,998,984
"l(1)G0196",793,705,1566,794,3077,3461,2920,2964
"l(1)sc",0,0,0,0,0,0,0,0
"l(2)03659",0,1,0,0,0,1,6,1
"l(2)09851",1137,1052,2091,998,2874,3027,3280,3412
"l(2)10685",75,72,128,77,160,183,160,186
"l(2)37Cd",128,140,248,143,428,451,409,380
"l(2)41Ab",359,322,666,366,1489,1540,1327,1335
"l(2)dtl",365,299,719,293,672,668,697,720
"l(2)gd1",321,354,697,369,959,975,954,1065
"l(2)k01209",616,544,1363,562,1836,2050,2326,2761
"l(2)k05819",436,388,783,412,910,956,939,936
"l(2)k05911",1,0,0,2,3,2,0,1
"l(2)k09022",658,568,1318,643,990,1077,862,966
"l(2)k09913",408,326,682,352,985,1086,1035,1135
"l(2)k14505",129,123,253,129,418,449,506,497
"l(3)02640",1181,1103,2014,1076,3528,4017,3959,4200
"l(3)72Dp",29,28,51,31,99,125,157,163
"l(3)72Dr",7,4,4,6,21,29,46,47
"l(3)73Ah",335,301,536,329,385,431,399,454
"l(3)psg2",666,591,1230,645,1153,1245,1468,1556
"Lac",1897,1632,3594,1870,5856,5922,7069,6817
"lace",1296,1376,2520,1395,3050,3023,2817,2988
"Lam",715,610,1339,643,1299,1418,1295,1363
"Lamp1",496,468,1016,502,2269,2181,2194,2326
"LanB1",700,704,1374,697,2099,2512,1851,2099
"LanB2",2362,2275,4393,2246,5496,5812,5347,5380
"lap",470,498,971,498,1325,1454,1221,1340
"Lap1",412,348,807,400,1014,1255,985,1087
"Lapsyn",48,78,107,75,226,301,273,335
"Lar",1294,1054,2523,1234,3783,3913,3921,3703
"lark",562,516,1056,557,1420,1507,1463,1603
"Larp4B",1473,1218,2843,1356,2498,2660,3527,3519
"Larp7",137,158,278,157,180,195,232,237
"lbk",690,742,1412,752,4054,4141,4552,4437
"lbm",362,464,759,391,781,807,640,719
"LBR",640,550,1213,596,1142,1133,1170,1119
"Lcch3",0,0,0,0,2,1,1,2
"ldbr",84,75,139,75,157,199,188,197
"lds",336,308,625,323,525,560,594,603
"Leash",347,318,735,343,1527,1667,1430,1429
"lectin-24Db",4,1,3,1,14,25,12,22
"lectin-28C",23,21,42,22,58,64,47,36
"lectin-46Ca",0,1,1,0,2,0,0,2
"lectin-46Cb",1,0,1,1,5,5,1,5
"LeuRS-m",114,108,189,110,181,206,237,279
"lft",4,4,6,5,12,16,28,14
"Lgr1",0,2,6,2,19,19,11,12
"Lgr3",12,5,16,12,30,35,42,47
"Lhr",62,46,100,49,176,144,194,207
"lic",239,246,498,177,502,481,521,557
"lig",1533,1420,2797,1578,2514,2809,2870,2937
"lilli",904,796,1705,909,3699,3701,4174,4153
"Lime",162,105,263,105,779,1166,1239,1729
"lin",349,347,693,349,434,512,530,575
"lin-28",67,62,90,54,977,1140,455,529
"link",74,52,130,73,163,213,203,241
"Lint-1",276,201,459,228,459,493,518,554
"Lip4",201,209,372,244,1960,1988,1080,1053
"Liprin-alpha",369,333,772,393,913,979,877,939
"Liprin-beta",362,381,734,357,574,626,664,692
"Lis-1",479,457,879,519,2030,2079,1771,2052
"Lkb1",147,140,250,134,282,319,298,309
"LManII",276,306,703,358,2066,2434,2016,2373
"Lmpt",1592,1625,2860,1586,5881,6087,7407,7241
"lms",0,0,1,0,5,1,7,7
"Lmx1a",0,3,3,4,4,6,9,9
"lncRNA:CR30055",660,659,1235,528,1211,1412,1365,1506
"lncRNA:CR31044",901,819,1922,874,4187,4438,4629,4511
"lncRNA:CR31451",27,27,54,22,22,17,112,96
"lncRNA:CR31781",3,4,12,5,22,28,51,36
"lncRNA:CR32027",113,94,207,110,336,407,458,565
"lncRNA:CR32111",110,126,228,95,80,94,117,126
"lncRNA:CR32160",0,0,0,0,2,2,0,0
"lncRNA:CR32385",17,21,39,19,30,32,31,46
"lncRNA:CR32582",37,50,75,28,36,44,94,110
"lncRNA:CR32636",74,69,150,85,281,322,598,623
"lncRNA:CR32658",0,0,0,0,0,0,0,0
"lncRNA:CR33963",689,661,1292,605,1831,1945,1826,1994
"lncRNA:CR33987",11,9,15,7,105,99,113,143
"lncRNA:CR41443",0,0,0,0,0,0,0,0
"lncRNA:CR42646",11,7,20,9,36,34,30,39
"lncRNA:CR42657",0,0,0,1,1,0,1,0
"lncRNA:CR42721",4,3,4,2,8,10,15,9
"lncRNA:CR42746",0,2,2,0,3,2,3,4
"lncRNA:CR42790",71,57,159,70,177,188,164,169
"lncRNA:CR42859",2,2,4,2,7,6,5,5
"lncRNA:CR42862",3510,3312,6556,3635,8513,8904,10157,10111
"lncRNA:CR42874",19,19,38,23,71,78,72,106
"lncRNA:CR43126",0,0,0,1,1,1,1,1
"lncRNA:CR43130",214,173,432,209,537,586,436,435
"lncRNA:CR43132",0,0,0,0,1,1,1,0
"lncRNA:CR43146",0,0,0,0,1,1,0,1
"lncRNA:CR43148",1,2,8,1,62,49,46,38
"lncRNA:CR43174",2,0,0,3,14,8,10,8
"lncRNA:CR43199",0,0,0,0,0,0,0,0
"lncRNA:CR43241",95,84,199,119,203,222,239,250
"lncRNA:CR43242",80,71,126,57,238,256,215,252
"lncRNA:CR43256",34,23,63,34,85,81,56,71
"lncRNA:CR43258",0,0,0,0,0,0,0,0
"lncRNA:CR43280",0,0,0,0,0,0,0,0
"lncRNA:CR43297",0,0,0,1,0,0,0,0
"lncRNA:CR43306",0,0,0,0,0,0,0,0
"lncRNA:CR43334",17478,13611,32882,14850,51748,55653,58262,61317
"lncRNA:CR43357",0,0,0,0,0,0,0,0
"lncRNA:CR43406",0,0,0,0,0,0,0,0
"lncRNA:CR43419",0,0,0,0,0,0,0,0
"lncRNA:CR43459",3377,2984,6786,3237,16006,15977,12807,12772
"lncRNA:CR43461",111,72,237,70,171,225,212,362
"lncRNA:CR43490",0,0,0,0,0,0,0,0
"lncRNA:CR43611",1,0,1,1,9,7,6,12
"lncRNA:CR43612",0,0,1,1,2,2,1,1
"lncRNA:CR43617",0,0,0,0,0,0,0,0
"lncRNA:CR43624",0,0,0,0,0,0,0,0
"lncRNA:CR43626",1460,1479,2847,1497,5565,5999,6089,6408
"lncRNA:CR43650",1959,1830,3628,1814,5645,5381,5507,5379
"lncRNA:CR43651",2399,2497,4873,2492,6463,6899,7385,7695
"lncRNA:CR43653",14,23,22,14,88,98,113,119
"lncRNA:CR43682",0,1,1,0,1,1,1,2
"lncRNA:CR43751",2,1,4,0,7,5,11,10
"lncRNA:CR43761",0,0,1,0,0,0,0,0
"lncRNA:CR43762",0,0,0,0,0,0,0,0
"lncRNA:CR43828",0,0,2,0,1,2,2,2
"lncRNA:CR43853",0,1,1,2,3,3,1,4
"lncRNA:CR43857",2239,2029,3912,2153,5498,6266,5198,5429
"lncRNA:CR43870",11,5,11,8,21,26,15,15
"lncRNA:CR43893",0,0,0,0,0,0,0,0
"lncRNA:CR43900",1140,1245,2224,1203,3046,3078,3140,2961
"lncRNA:CR43904",1,2,0,0,8,1,8,14
"lncRNA:CR43914",0,0,0,0,0,0,0,1
"lncRNA:CR43928",2,5,7,4,172,185,138,143
"lncRNA:CR43942",3,3,9,4,17,33,1,4
"lncRNA:CR43951",36,28,52,35,94,110,96,97
"lncRNA:CR43960",13,24,35,26,54,53,72,60
"lncRNA:CR43992",0,0,0,0,0,0,0,0
"lncRNA:CR44023",0,0,0,0,4,0,1,1
"lncRNA:CR44024",1,1,2,2,2,4,2,0
"lncRNA:CR44039",0,0,0,0,0,0,0,1
"lncRNA:CR44055",0,0,0,0,0,0,0,0
"lncRNA:CR44058",12,14,31,20,6,4,21,29
"lncRNA:CR44068",1,1,1,0,1,1,3,2
"lncRNA:CR44096",0,0,0,0,1,0,0,2
"lncRNA:CR44110",0,0,0,0,0,0,0,1
"lncRNA:CR44125",5,10,15,7,47,51,123,123
"lncRNA:CR44126",0,0,1,0,1,0,0,0
"lncRNA:CR44131",0,0,0,0,0,1,0,0
"lncRNA:CR44133",58,51,101,64,187,237,162,215
"lncRNA:CR44145",0,0,0,0,1,0,0,1
"lncRNA:CR44177",0,0,0,0,2,1,2,0
"lncRNA:CR44178",10,14,24,13,94,70,68,62
"lncRNA:CR44188",2,0,0,0,0,1,1,1
"lncRNA:CR44208",0,0,0,0,0,1,0,0
"lncRNA:CR44222",6,10,29,8,69,73,82,78
"lncRNA:CR44230",0,0,0,0,0,1,0,0
"lncRNA:CR44260",0,0,0,0,0,1,0,0
"lncRNA:CR44284",1,0,0,0,1,3,0,1
"lncRNA:CR44295",3,0,1,2,2,3,0,2
"lncRNA:CR44299",4,3,5,2,13,8,15,7
"lncRNA:CR44305",0,0,0,0,0,0,0,1
"lncRNA:CR44309",0,0,1,0,0,0,0,0
"lncRNA:CR44310",0,0,0,0,0,0,0,0
"lncRNA:CR44320",1039,1048,1794,1014,3079,3349,3183,3422
"lncRNA:CR44348",0,0,0,0,2,0,0,0
"lncRNA:CR44365",1,2,2,0,2,1,10,9
"lncRNA:CR44366",35,43,58,19,189,155,517,509
"lncRNA:CR44377",7,7,11,6,2,0,20,17
"lncRNA:CR44392",137,113,245,115,422,513,401,458
"lncRNA:CR44440",7,2,4,2,27,31,31,39
"lncRNA:CR44441",19,9,16,8,25,27,20,25
"lncRNA:CR44451",3,4,7,5,17,9,13,13
"lncRNA:CR44462",0,1,0,0,4,4,7,5
"lncRNA:CR44468",3,7,10,1,31,24,17,25
"lncRNA:CR44471",9,11,23,8,86,105,83,93
"lncRNA:CR44498",37,28,69,40,84,93,65,67
"lncRNA:CR44501",0,0,0,0,0,2,1,2
"lncRNA:CR44503",0,0,0,0,0,0,0,0
"lncRNA:CR44506",1,2,4,1,23,40,30,33
"lncRNA:CR44537",25,16,32,19,2,5,22,20
"lncRNA:CR44547",0,0,0,0,1,0,0,0
"lncRNA:CR44553",0,0,0,0,0,0,0,0
"lncRNA:CR44560",0,0,0,0,0,0,6,1
"lncRNA:CR44593",0,0,0,0,0,0,0,0
"lncRNA:CR44595",0,0,0,0,0,0,0,0
"lncRNA:CR44596",0,0,0,0,0,0,0,0
"lncRNA:CR44609",0,0,0,0,1,1,0,0
"lncRNA:CR44612",1,0,0,0,3,6,4,8
"lncRNA:CR44619",36,36,82,54,131,102,120,129
"lncRNA:CR44632",41,54,101,48,244,259,311,326
"lncRNA:CR44651",0,0,0,0,0,0,0,0
"lncRNA:CR44654",0,0,1,0,0,0,0,0
"lncRNA:CR44657",5,6,8,1,10,11,14,16
"lncRNA:CR44665",0,0,0,0,0,0,0,0
"lncRNA:CR44667",2,0,1,0,1,0,0,1
"lncRNA:CR44679",0,0,0,0,0,0,1,0
"lncRNA:CR44680",0,0,0,0,0,0,0,0
"lncRNA:CR44685",0,0,0,0,0,0,0,0
"lncRNA:CR44710",0,0,0,0,0,0,0,0
"lncRNA:CR44717",2,3,13,6,39,51,20,27
"lncRNA:CR44737",0,0,0,0,0,0,0,1
"lncRNA:CR44744",1,1,1,0,2,2,5,1
"lncRNA:CR44745",0,0,0,0,0,0,0,0
"lncRNA:CR44758",1,0,1,1,1,3,6,6
"lncRNA:CR44764",0,0,1,2,3,3,0,3
"lncRNA:CR44779",946,978,1947,1032,3196,3362,4890,4723
"lncRNA:CR44786",0,0,0,0,0,2,3,3
"lncRNA:CR44810",6,8,16,9,124,151,104,74
"lncRNA:CR44813",0,1,2,0,1,0,0,2
"lncRNA:CR44819",0,0,0,0,0,0,0,0
"lncRNA:CR44846",6,2,7,6,57,33,43,53
"lncRNA:CR44895",0,0,0,0,1,2,0,3
"lncRNA:CR44905",0,0,0,0,0,0,0,0
"lncRNA:CR44914",2,1,5,0,3,2,1,2
"lncRNA:CR44917",0,0,1,0,0,2,1,0
"lncRNA:CR44922",3,2,7,2,8,17,12,5
"lncRNA:CR44924",0,0,0,0,0,0,0,0
"lncRNA:CR44927",0,0,2,0,4,1,2,0
"lncRNA:CR44930",21,20,47,24,86,72,87,70
"lncRNA:CR44933",0,1,0,0,1,0,0,0
"lncRNA:CR44936",0,0,0,0,1,9,9,6
"lncRNA:CR44939",0,0,0,0,0,0,0,0
"lncRNA:CR44941",0,0,0,0,0,0,0,0
"lncRNA:CR44944",0,0,0,0,2,0,0,0
"lncRNA:CR44945",0,0,0,0,0,0,0,0
"lncRNA:CR44946",0,0,0,0,0,0,0,0
"lncRNA:CR44951",2,1,0,0,3,5,5,3
"lncRNA:CR44988",0,0,0,0,0,0,0,0
"lncRNA:CR44997",1009,979,1883,1026,4818,5163,4145,4084
"lncRNA:CR44999",7250,6522,13729,7048,16933,18667,19578,20350
"lncRNA:CR45004",0,1,0,2,0,0,1,0
"lncRNA:CR45018",1794,1966,3668,1828,4205,4922,3926,4757
"lncRNA:CR45023",0,0,1,1,2,1,2,4
"lncRNA:CR45030",14,11,40,14,33,48,39,34
"lncRNA:CR45036",13,9,10,3,23,25,25,30
"lncRNA:CR45037",1,0,1,1,0,1,0,1
"lncRNA:CR45054",1105,1103,2155,1113,9807,9641,8208,7912
"lncRNA:CR45102",32,25,82,52,108,95,61,62
"lncRNA:CR45147",0,0,0,0,0,0,0,0
"lncRNA:CR45156",1,1,1,0,2,3,9,4
"lncRNA:CR45170",0,1,0,0,8,4,4,1
"lncRNA:CR45179",0,1,0,3,2,3,1,4
"lncRNA:CR45180",0,1,0,0,19,8,8,4
"lncRNA:CR45188",23,16,52,25,107,112,91,106
"lncRNA:CR45191",0,0,0,0,1,1,1,1
"lncRNA:CR45196",0,2,3,0,8,4,5,0
"lncRNA:CR45197",15,15,28,16,102,85,98,94
"lncRNA:CR45215",28,12,53,17,72,90,73,83
"lncRNA:CR45226",0,0,0,0,0,0,0,0
"lncRNA:CR45231",0,0,0,0,1,0,0,0
"lncRNA:CR45240",0,0,0,0,0,0,0,0
"lncRNA:CR45245",8,8,15,5,1,4,5,6
"lncRNA:CR45266",0,0,0,0,0,0,0,0
"lncRNA:CR45267",0,0,0,0,1,0,0,0
"lncRNA:CR45276",0,0,0,0,2,0,3,2
"lncRNA:CR45280",13,11,15,5,18,21,5,8
"lncRNA:CR45310",0,0,0,0,0,0,0,0
"lncRNA:CR45316",0,0,0,0,0,0,0,0
"lncRNA:CR45318",0,0,0,0,0,0,0,0
"lncRNA:CR45334",11,3,15,9,35,20,40,43
"lncRNA:CR45335",0,0,0,0,1,0,0,0
"lncRNA:CR45345",0,2,8,8,2,10,4,12
"lncRNA:CR45347",1,0,6,1,5,8,8,7
"lncRNA:CR45351",0,0,0,0,0,0,0,0
"lncRNA:CR45361",0,0,0,0,1,0,1,1
"lncRNA:CR45388",0,0,2,0,3,8,9,16
"lncRNA:CR45410",0,0,0,0,0,0,0,0
"lncRNA:CR45484",0,0,0,0,3,0,1,3
"lncRNA:CR45519",0,0,0,0,1,3,2,0
"lncRNA:CR45522",1,1,1,0,3,0,4,1
"lncRNA:CR45531",21,18,33,20,50,47,44,25
"lncRNA:CR45533",0,0,0,0,0,1,0,0
"lncRNA:CR45537",1,2,4,4,0,0,1,2
"lncRNA:CR45550",0,0,2,0,1,1,0,0
"lncRNA:CR45553",0,0,1,0,2,2,0,1
"lncRNA:CR45567",1,1,3,0,12,17,17,13
"lncRNA:CR45571",21,25,50,26,69,69,38,34
"lncRNA:CR45572",0,0,0,0,0,0,0,0
"lncRNA:CR45585",1,1,1,0,15,22,16,13
"lncRNA:CR45646",0,0,0,0,1,0,0,0
"lncRNA:CR45651",0,0,0,0,0,0,0,0
"lncRNA:CR45659",5,5,6,3,24,21,27,44
"lncRNA:CR45669",0,0,0,0,0,0,0,0
